,1,2,3,4,5
0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0,0.0
0.30000000000000004,0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0
0.6000000000000001,0.0,0.0,0.0,0.0,0.0
0.7000000000000001,0.0,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.1,0.0,0.0,0.0,0.0,0.0
1.2000000000000002,0.0,0.0,0.0,0.0,0.0
1.3,0.0,0.0,0.0,0.0,0.0
1.4000000000000001,0.0,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0,0.0
1.6,0.30177514792899435,0.0,0.0,0.0,0.0
1.7000000000000002,2.213017751479292,0.0,0.0,0.0,0.0
1.8,2.9171597633136117,0.0,0.0,0.0,0.0
1.9000000000000001,4.023668639053258,0.0,0.0,0.0,0.0
2.0,4.82840236686391,0.0,0.0,0.0,0.0
2.1,5.431952662721898,0.0,0.0,0.0,0.0
2.2,5.3313609467455665,0.0,0.0,0.0,0.0
2.3000000000000003,4.325443786982252,0.0,0.0,0.0,0.0
2.4000000000000004,4.124260355029589,0.0,0.0,0.0,0.0
2.5,4.023668639053258,0.0,0.0,0.0,0.0
2.6,4.124260355029589,0.0,0.0,0.0,0.0
2.7,4.325443786982252,0.0,0.0,0.0,0.0
2.8000000000000003,4.426035502958584,0.0,0.0,0.0,0.0
2.9000000000000004,3.9230769230769265,0.0,0.0,0.0,0.0
3.0,3.7218934911242636,0.0,0.0,0.0,0.0
3.1,3.621301775147932,0.0,0.0,0.0,0.0
3.2,3.621301775147932,0.0,0.0,0.0,0.0
3.3000000000000003,3.7224242424242457,0.0,0.0,0.0,0.0
3.4000000000000004,3.622222222222226,0.0,0.0,0.0,0.0
3.5,3.421518987341775,0.0,0.0,0.0,0.0
3.6,3.2211920529801352,0.0,0.0,0.0,0.0
3.7,3.0211267605633827,0.0,0.0,0.0,0.0
3.8000000000000003,2.7197080291970823,0.0,0.0,0.0,0.0
3.9000000000000004,2.6194029850746294,0.0,0.0,0.0,0.0
4.0,2.418461538461541,0.0,0.0,0.0,0.0
4.1000000000000005,2.116666666666669,0.0,0.0,0.0,0.0
4.2,2.0165289256198364,0.0,0.0,0.0,0.0
4.3,1.916239316239318,0.0,0.0,0.0,0.0
4.4,1.8159292035398245,0.0,0.0,0.0,0.0
4.5,1.614545454545456,0.0,0.0,0.0,0.0
4.6000000000000005,1.6149532710280388,0.0,0.0,0.0,0.0
4.7,1.5144230769230782,0.0,0.0,0.0,0.0
4.800000000000001,1.4137254901960798,0.0,0.0,0.0,0.0
4.9,1.4141414141414155,0.20289855072463783,0.0,0.0,0.0
5.0,1.3134020618556712,0.7098591549295781,0.0,0.0,0.0
