,tgde,tgdu,Qe,Qu,Qf,ReRefIndx,ExtCoeff,AtnuCnstNm,AtnuCnstdB,PhsCnst,PhsVel,Res,React,Condt,Skd,Eddy
10.600000000000009,0.8219682495570919,-0.31254230732037547,0.821968249557092,-0.31254230732037547,-0.5042928362319037,2.7890641595505863,0.5437277499720042,619.6173008779829,5493.452635508092,120.79432439603634,551365013.1254766,1050.7250150903328,204.8387256843974,2.790717773875651,1.61389941595082,-0.028512835636892803
10.700000000000008,0.8003115851466277,-0.3048934721276356,0.8003115851466276,-0.3048934721276356,-0.4925330171970782,2.784666839648297,0.5340896346465052,624.4766243027767,5536.534813873503,119.77249391933621,561314877.7890474,1049.068411385155,201.20775547664886,2.782698348431446,1.601340964710236,-0.02772129294802441
10.800000000000008,0.795372990131806,-0.30358865521898576,0.7953729901318061,-0.30358865521898576,-0.49100021966828994,2.7823343033251913,0.5310127356853844,629.7848818951867,5583.597188696898,120.19540305734903,564567359.4119252,1048.1896742449924,200.048594366538,2.7700113559059854,1.5878437681621376,-0.02711755804401373
10.90000000000001,0.7444805139623029,-0.27431683546722757,0.7444805139623029,-0.27431683546722757,-0.4343668981637278,2.772731318303062,0.5220865957852521,633.4224492435751,5615.847424299628,119.26917261566014,574219794.9922324,1044.5719386874443,196.68584688396442,2.6561889218022507,1.578725227049005,-0.024046132383868338
11.000000000000009,0.7395406621449133,-0.2756057534511011,0.7395406621449132,-0.27560575345110117,-0.43933245284780525,2.773827284254138,0.5159995570469926,639.4863316003571,5669.609077608974,118.96006132628342,580993634.4048016,1044.9848222837356,194.39267487205066,2.6956729788296783,1.5637550805776153,-0.02418676367946192
11.100000000000009,0.7225013020614585,-0.2670367534456366,0.7225013020614585,-0.2670367534456366,-0.42359916408219644,2.771232172446758,0.5110401878560785,644.6961200157325,5715.798436525083,118.88777474463112,586631864.0373327,1044.007164999075,192.5243301621888,2.655586421784495,1.5511183780283913,-0.023025808934994813
11.20000000000001,0.6939936144738573,-0.25002383903880915,0.6939936144738573,-0.25002383903880915,-0.3908260367254616,2.7670726180127576,0.5059279329667176,649.5278016461752,5758.635546058793,118.7588124547552,592559608.72143,1042.440134753296,190.5983887752273,2.600378950166046,1.5395799802034362,-0.021286885722357683
11.30000000000001,0.6833325041871865,-0.24469603272761764,0.6833325041871864,-0.24469603272761764,-0.3812012080346245,2.766021593403484,0.5025764470947199,655.0782423474477,5807.84508726339,119.02542496168044,596511157.1245171,1042.0441819227892,189.33578245210953,2.590466906937522,1.5265352065679032,-0.02060176593148664
11.40000000000001,0.6677162498557488,-0.23567362428842348,0.6677162498557488,-0.23567362428842345,-0.36423051635968007,2.7656707093652306,0.49938096944194477,660.7915594981998,5858.4986715239,119.31526355030286,600328158.9505029,1041.9119932690694,188.13194915432192,2.5687429704706295,1.5133365213674832,-0.019613970529014202
11.500000000000009,0.6571362502684044,-0.2295884734909126,0.6571362502684044,-0.2295884734909126,-0.3528749692298899,2.765150842728018,0.4970308974696265,666.4626772978571,5908.778121401526,119.79546920505781,603166643.2132025,1041.7161437478744,187.24660580353452,2.545340045034576,1.5004591165621681,-0.018800466226731594
11.600000000000009,0.6360453787340835,-0.21296641791044685,0.6360453787340835,-0.21296641791044685,-0.32016790831146325,2.7601780730694445,0.4975233512643909,671.0490350005632,5949.440218430794,120.95689333005433,602569622.587797,1039.8427506756307,187.4321280760012,2.485644699322599,1.4902040653395183,-0.017126095109885373
11.70000000000001,0.635650224215245,-0.21034767452527095,0.635650224215245,-0.21034767452527098,-0.3143821888032661,2.7635613614979126,0.5013082771750313,677.6635697153498,6008.083889467926,122.92774149011431,598020163.7391431,1041.1173379858164,188.85802440074343,2.4727051352291896,1.4756584899791005,-0.01649246282002438
11.80000000000001,0.6136552872606159,-0.19554500639035916,0.6136552872606159,-0.19554500639035916,-0.28699898701149373,2.7596220522577024,0.49830700507519615,682.4813366017025,6050.797632550303,123.23616220687926,601622001.9920456,1039.6332807809324,187.72735422179076,2.4190681691972236,1.4652415331667918,-0.015128364717041569
11.90000000000001,0.6006853456964292,-0.18072397377166757,0.6006853456964292,-0.18072397377166757,-0.25849578060744915,2.7571660429480294,0.5047532351413888,687.6525343710149,6096.644851429294,125.88826206702538,593938655.8186669,1038.708027623836,190.15584449526924,2.367407826030544,1.4542228087833406,-0.013641326284236916
12.00000000000001,0.5854865871706332,-0.166138962181178,0.5854865871706332,-0.166138962181178,-0.23196061731832818,2.755528332349848,0.5086055253167574,693.0192405842704,6144.225424711271,127.91500300466964,589440033.7339838,1038.0910523968248,191.60711898057858,2.297778184088475,1.4429613803462662,-0.012176704938520777
12.10000000000001,0.5579667012465744,-0.1410936277492803,0.5579667012465744,-0.1410936277492803,-0.18884775977906632,2.7494198387933517,0.5127770957740457,697.2453037692196,6181.693193781449,130.03886014941392,584644791.0226141,1035.7897977045113,193.17867602657745,2.2085486546802557,1.4342154684931214,-0.010137034158482543
12.20000000000001,0.5520542274655875,-0.13178096212896315,0.5520542274655875,-0.13178096212896315,-0.17310222477393647,2.7498477712888425,0.5194361320337857,703.1170810348395,6233.751666405164,132.81623104847137,577149796.6962771,1035.951012847678,195.68733684405746,2.172368055737283,1.42223824022055,-0.009213338627850594
12.30000000000001,0.5256209831509471,-0.10689713039100499,0.5256209831509471,-0.10689713039100499,-0.13418718423081505,2.742455404459379,0.5237906504019068,706.9746654053636,6267.952546524105,135.0274353443295,572351678.6142861,1033.1660841747953,197.3278159138514,2.0706306704663167,1.4144778433136953,-0.007292182924169129
12.40000000000001,0.5122428648828117,-0.0900878501574646,0.5122428648828117,-0.09008785015746461,-0.1093125909822868,2.73958570383928,0.5319189587527101,711.9766353905927,6312.299412176749,138.23764302116518,563605513.7101703,1032.0849809606464,200.3899960667572,2.021860992204803,1.404540472667894,-0.006021174545207304
12.50000000000001,0.5024488414753604,-0.07641868372055304,0.5024488414753604,-0.07641868372055304,-0.09012619976204157,2.737465117629036,0.5397295806566049,717.1628299436493,6358.279590740802,141.3986943524019,555449374.5465816,1031.28609185294,203.33249410493684,1.961880251747583,1.394383476453422,-0.004948995950493182
